,Unnamed: 0,state,location,type,so2,no2,rspm,spm,pm2_5,date,year,si,ni,rpi,spi,AQI,Condition,latitude_long,latitude,longitude,Number
0,8,Andhra Pradesh,Hyderabad,RRO,6.3,11.5,108.833091,270.0,40.79146704,9/1/1990,1990,7.875,14.375,109.6110303,220.0,220,Hazardous,17.38714,17.38714,78.49168399999999,2
2279,8441,Assam,Guwahati,RRO,15.7,46.1,108.833091,330.0,40.79146704,10/1/1993,1993,19.625,90.125,109.6110303,280.0,280,Hazardous,26.148042999999998,26.148042999999998,91.731377,1
3030,13158,Assam,Silchar,RO,5.8,16.3,207.0,383.0,40.79146704,2/4/2009,2009,7.25,20.375,142.33333330000005,341.25,341,Hazardous,24.833945999999997,24.833945999999997,92.779282,40
3039,14662,Chandigarh,Chandigarh,I,11.3,29.7,108.833091,318.0,40.79146704,5/1/1989,1989,14.125,37.125,109.6110303,268.0,268,Hazardous,30.741482,30.741482,76.768066,4
4344,21134,Delhi,Delhi,R,8.6,16.2,108.833091,323.0,40.79146704,1/9/1987,1987,10.75,20.25,109.6110303,273.0,273,Hazardous,28.653229,28.653229,77.308601,3
8928,29342,Gujarat,Ahmedabad,I,70.3,67.9,108.833091,398.0,40.79146704,1/1/1989,1989,87.875,117.375,109.6110303,360.0,360,Hazardous,23.033863,23.033863,72.585022,14
10171,38569,Haryana,Dharuhera,I,37.8,32.1,108.833091,339.0,40.79146704,12/1/1994,1994,47.25,40.125,109.6110303,289.0,289,Hazardous,28.205523,28.205523,76.795311,60
10172,39919,Himachal Pradesh,Parwanoo,I,6.7,3.9,108.833091,287.0,40.79146704,4/1/1990,1990,8.375,4.875,109.6110303,237.0,237,Hazardous,30.8381,30.8381,76.9585,28
10433,48926,Karnataka,Bangalore,RRO,27.2,20.3,108.833091,392.0,40.79146704,2/11/1988,1988,34.0,25.375,109.6110303,352.5,352,Hazardous,12.972442,12.972442,77.58064300000001,12
11256,56681,Kerala,Kochi,RO,10.82942758,25.80965922,41.0,84.0,40.79146704,11/7/2005,2005,13.53678448,32.26207403,51.25,-32.5,51,Hazardous,9.939093,9.939093,76.270523,10
11343,74704,Maharashtra,Pune,R,0.7,47.6,108.833091,293.0,40.79146704,1/12/1987,1987,0.875,92.0,109.6110303,243.0,243,Hazardous,18.516726000000002,18.516726000000002,73.856255,19
11354,74719,Maharashtra,Nagpur,RRO,9.0,20.0,108.833091,362.0,40.79146704,1/1/1990,1990,11.25,25.0,109.6110303,315.0,315,Hazardous,21.146632999999998,21.146632999999998,79.08886,6
11433,74958,Maharashtra,Nashik,I,15.7,20.1,108.833091,393.0,40.79146704,4/1/1994,1994,19.625,25.125,109.6110303,353.75,353,Hazardous,19.997454,19.997454,73.789803,20
11438,74972,Maharashtra,Chandarpur,RRO,14.3,36.3,108.833091,384.0,40.79146704,6/1/1994,1994,17.875,45.375,109.6110303,342.5,342,Hazardous,19.970323999999998,19.970323999999998,79.30336,37
11496,75481,Maharashtra,Thane,RRO,41.0,43.4,108.833091,427.0,40.79146704,1/1/1998,1998,51.25,86.75,109.6110303,396.25,396,Hazardous,19.218329999999998,19.218329999999998,72.978088,26
12178,79827,Maharashtra,Navi Mumbai,I,17.2,45.8,26.0,266.0,40.79146704,7/9/2006,2006,21.5,89.75,32.5,216.0,216,Hazardous,19.07609,19.07609,72.877426,18
14529,92123,Manipur,Imphal,RO,10.82942758,12.7,41.0,81.0,40.79146704,7/9/2007,2007,13.53678448,15.875,51.25,-36.25,51,Hazardous,24.813967,24.813967,93.95027900000001,38
14534,105216,Punjab,Ludhiana,R,10.82942758,25.80965922,108.833091,614.0,40.79146704,2/1/1987,1987,13.53678448,32.26207403,109.6110303,630.0,630,Hazardous,30.900965000000003,30.900965000000003,75.857277,16
14658,105389,Punjab,Jalandhar,RRO,47.9,24.0,108.833091,280.0,40.79146704,1/1/1995,1995,59.875,30.0,109.6110303,230.0,230,Hazardous,31.326015,31.326015,75.57618000000001,23
14662,105393,Punjab,Gobindgarh,I,23.9,42.6,108.833091,485.0,40.79146704,1/1/1996,1996,29.875,85.75,109.6110303,468.75,468,Hazardous,30.663738000000002,30.663738000000002,76.300042,22
15201,107044,Rajasthan,Kota,I,10.82942758,25.80965922,108.833091,280.0,40.79146704,12/6/1987,1987,13.53678448,32.26207403,109.6110303,230.0,230,Hazardous,25.1695181,25.1695181,75.854838,21
15243,107139,Rajasthan,Jaipur,RRO,5.0,30.8,108.833091,265.0,40.79146704,1/1/1990,1990,6.25,38.5,109.6110303,215.0,215,Hazardous,26.92207,26.92207,75.778885,5
15293,107241,Rajasthan,Alwar,RRO,14.5,119.9,108.833091,476.0,40.79146704,3/1/1992,1992,18.125,139.9,109.6110303,457.5,457,Hazardous,27.560932,27.560932,76.625015,24
15401,107400,Rajasthan,Chittorgarh,I,8.6,22.8,108.833091,354.0,40.79146704,12/1/1995,1995,10.75,28.5,109.6110303,305.0,305,Hazardous,24.879998999999998,24.879998999999998,74.629997,50
15417,107430,Rajasthan,Jodhpur,RRO,38.1,37.6,108.833091,372.0,40.79146704,1/1/1995,1995,47.625,47.0,109.6110303,327.5,327,Hazardous,26.263863,26.263863,73.008957,17
15470,107494,Rajasthan,Udaipur,RRO,61.4,21.6,108.833091,254.0,40.79146704,5/1/1995,1995,76.75,27.0,109.6110303,204.0,204,Hazardous,24.571270000000002,24.571270000000002,73.691544,25
24482,121538,Tamil Nadu,Chennai,RRO,2.0,4.5,41.0,56.33,40.79146704,9/23/2004,2004,2.5,5.625,51.25,-67.0875,51,Hazardous,13.067439,13.067439,80.237617,13
24715,128425,Uttar Pradesh,Agra,R,14.8,25.80965922,108.833091,373.0,40.79146704,9/1/1987,1987,18.5,32.26207403,109.6110303,328.75,328,Hazardous,27.17667,27.17667,78.008072,9
24782,128536,Uttar Pradesh,Lucknow,RRO,20.5,25.80965922,108.833091,414.0,40.79146704,2/1/1989,1989,25.625,32.26207403,109.6110303,380.0,380,Hazardous,26.85,26.85,80.949997,15
24825,128628,Uttar Pradesh,Kanpur,RRO,10.82942758,25.80965922,108.833091,378.0,40.79146704,2/1/1990,1990,13.53678448,32.26207403,109.6110303,335.0,335,Hazardous,26.449923,26.449923,80.33187099999999,8
25005,128945,Uttar Pradesh,Noida,RRO,10.82942758,25.80965922,108.833091,491.0,40.79146704,1/1/1994,1994,13.53678448,32.26207403,109.6110303,476.25,476,Hazardous,28.535517,28.535517,77.391029,51
25318,129384,Uttar Pradesh,Ghaziabad,I,10.82942758,25.80965922,108.833091,289.0,40.79146704,1/1/1997,1997,13.53678448,32.26207403,109.6110303,239.0,239,Hazardous,28.6692,28.6692,77.4538,52
36891,148699,West Bengal,Howrah,I,103.4,148.0,108.833091,968.0,40.79146704,1/1/1987,1987,107.8,168.0,109.6110303,1072.5,1072,Hazardous,22.59577,22.59577,88.263641,27
37298,150245,West Bengal,Kolkata,I,22.2,104.8,476.0,255.0,40.79146704,1/1/2004,2004,27.75,124.8,212.0,205.0,212,Hazardous,22.572645,22.572645,88.363892,7
